Population Definition Reported,count
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD86+,Freq. of Parent",489
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD86-,Freq. of Parent",489
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD40+,Freq. of Parent",489
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40+,Freq. of,pDC",489
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD86+,Freq. of,pDC",489
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD2,Freq. of Parent",489
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD2+,Freq. of Parent",489
"Singlets/WBC/Lymph/Lin1-DR+/pDC,Freq. of,WBC",489
"Singlets/WBC/Lymph/Lin1-DR+/mDC,Freq. of,WBC",489
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3,Freq. of,WBC",489
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2+,Freq. of,pDC",489
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD86-,Freq. of Parent",489
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2,Freq. of Parent",489
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD40-,Freq. of Parent",489
CD14pCD16p_CD86_pP,488
CD14nCD16p_CD86_pP,488
CD14nCD16n_CD86_pP,488
"Singlets/WBC/mono/CD3-CD19-/mo2/mo3,Freq. of,WBC",488
CD14pCD16p_pmo,488
"Singlets/WBC/mono/CD3-CD19-/mo2/mo3/Q1: CD14,, CD16+,Freq. of,mo3",488
CD14pCD16n_CD86_pP,488
CD14pCD16n_pmo,488
CD14nCD16n_pmo,488
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD2+,Freq. of,BDCA3",486
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD40-,Freq. of Parent",486
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD86-,Freq. of Parent",486
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD86+,Freq. of,BDCA3",486
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD40+,Freq. of,BDCA3",486
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD2,Freq. of Parent",486
"Singlets/WBC/Lymph/CD3/CD4/ICOS+,Freq. of,CD3",485
"Singlets/WBC/Lymph/CD3/CD4,Freq. of,CD3",485
"Singlets/WBC/Lymph/CD3/CD4/TFH/DR,Freq. of Parent",485
"Singlets/WBC/Lymph/CD3/CD4/TFH,Freq. of,CD4",485
"Singlets/WBC/Lymph/CD3,Freq. of,Lymph",485
"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56/CD86,Freq. of Parent",485
"Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+/CD86,Freq. of Parent",485
"Singlets/WBC/Lymph/CD3-/NK/CD38,Freq. of Parent",485
"Singlets/WBC/Lymph/CD19/CD86,Freq. of,CD19",485
"Singlets/WBC/Lymph/CD3+/CD27,Freq. of Parent",485
"Singlets/WBC/Lymph/CD3/ICOS+,Freq. of Parent",485
"Singlets/WBC/Lymph/CD3/DR,Freq. of Parent",485
"Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+,Freq. of,CD19",485
"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56,Freq. of,CD19",485
"Singlets/WBC/Lymph/CD3-/NK/CD27,Freq. of Parent",485
"Singlets/WBC/Lymph/CD3-/NK/Q2: CD16+,, CD20-CD56+,Freq. of,NK",485
"Singlets/WBC/Lymph/CD3-/NK/Q1: CD16,, CD20-CD56+,Freq. of,NK",485
"Singlets/WBC/Lymph/CD3-/NK,Freq. of,Lymph",485
"Singlets/WBC/Lymph/CD3+,Freq. of,Lymph",485
"Singlets/WBC/Lymph/CD19/CD27/CD138,Freq. of,CD19",485
"Singlets/WBC/Lymph/CD19/CD27/PB,Freq. of,CD19",485
"Singlets/WBC/Lymph/CD19/CD27,Freq. of,CD19",485
"Singlets/WBC/Lymph/CD19/CD27/PB/CD86,Freq. of Parent",485
"Singlets/WBC/Lymph/CD3+/CD38,Freq. of Parent",485
