Experiment,Treatment,Tissue,Mouse,Target,Timepoint_pre,Timepoint_peak,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB
C57BL/6,Intramuscular ,Lung,1,no,PBS,4.50E+02,0.1479334126334656,-1.403071306240455,,,,,,,,,,,-0.5305076706637896,,,1.248791801649088,,,,,,,,,,,-0.20721450931484262,,,-0.19788794169463234,,-1.1245055453572685,,,,
C57BL/6,Intramuscular ,Lung,1,no,PBS,4.50E+04,0.1448736132088826,-1.3775362593304505,,,,,,,,,,,1.7065134844484022,,,1.8467754038070674,,,,,,,,,,,-1.17821974996482,,,-1.2241368036306874,,1.9824491339609382,,,,
C57BL/6,Intramuscular ,Lung,1,Yes,PBS,4.50E+06,0.15707406552470599,-1.5694580029174754,,,,,,,,,,,2.003946112447872,,,2.5877003765626574,,,,,,,,,,,-1.033473549791575,,,-0.8525390283264354,,2.0410465988298685,,,,
C57BL/6,Intramuscular ,Lung,2,no,PBS,4.50E+02,-0.054635250306242104,0.3585567334200227,,,,,,,,,,,1.4121186410649578,,,0.1342207795526626,,,,,,,,,,,-1.2394642845563333,,,-1.572576887409788,,-0.29386394366048896,,,,
C57BL/6,Intramuscular ,Lung,2,no,PBS,4.50E+04,0.11847345707136127,-1.6946519077954179,,,,,,,,,,,1.3125832797847172,,,1.655922981986968,,,,,,,,,,,-0.6075664851620045,,,-0.6727237715764702,,-0.3335677423845187,,,,
C57BL/6,Intramuscular ,Lung,2,Yes,PBS,4.50E+06,0.08056547247965616,-0.8648393589946735,,,,,,,,,,,0.9883124249639191,,,0.6892984755360332,,,,,,,,,,,-0.7349456211239276,,,-0.45382160604917826,,-0.32321653208089307,,,,
C57BL/6,Intramuscular ,Lung,3,no,PBS,4.50E+02,0.10449415604016161,-0.7366197204840913,,,,,,,,,,,1.1267518224374153,,,20.189787165126443,,,,,,,,,,,-0.07222824892794723,,,-0.4791674506021274,,0.3030103579717284,,,,
C57BL/6,Intramuscular ,Lung,3,no,PBS,4.50E+04,0.013483227788455537,-0.04310007491179262,,,,,,,,,,,1.3041475533018188,,,20.812058979659277,,,,,,,,,,,-1.5088930157394447,,,-2.0078591560800327,,1.016486725195452,,,,
C57BL/6,Intramuscular ,Lung,3,Yes,PBS,4.50E+06,0.11078041820281279,-0.8001225851333145,,,,,,,,,,,1.3041475533018188,,,20.626672446066934,,,,,,,,,,,-0.3837277560570037,,,-0.627229018393479,,1.2667131371828781,,,,
C57BL/6,Intranasal,Lung,1,no,PBS,4.50E+02,-0.028381798267786747,0.16166446664128878,,,,,,,,,,,0.4570414646907292,,,18.345166984144385,,,,,,,,,,,-0.6138710971551867,,,-0.554292233624529,,0.07004167476304464,,,,
C57BL/6,Intranasal,Lung,1,Maybe,PBS,4.50E+04,-0.09853228120085197,0.8551589847096608,,,,,,,,,,,-0.44150501504993894,,,20.165457856279428,,,,,,,,,,,-0.6911893056417501,,,-0.5340846156941088,,-0.3277174652140845,,,,
C57BL/6,Intranasal,Lung,1,Yes,PBS,4.50E+06,-0.007827989277535499,0.055925342324930453,,,,,,,,,,,2.792276251918151,,,20.672281166095274,,,,,,,,,,,-1.340379790490723,,,-1.1505441994221568,,0.7024963686825024,,,,
C57BL/6,Intranasal,Lung,2,no,PBS,4.50E+02,0.03824234400608451,-0.2178959970688845,,,,,,,,,,,1.503954726719708,,,0.7999199557817125,,,,,,,,,,,0.1740584507309834,,,0.09924099218447635,,-0.5681099765524408,,,,
C57BL/6,Intranasal,Lung,2,Maybe,PBS,4.50E+04,0.14245930421109967,-0.931248424929356,,,,,,,,,,,2.4639369169964236,,,2.979086478859492,,,,,,,,,,,-0.43096907978816795,,,-0.22940547381512563,,-0.5793226742278481,,,,
C57BL/6,Intranasal,Lung,2,Yes,PBS,4.50E+06,0.23815971038883957,-2.4036163282205405,,,,,,,,,,,4.430873218682248,,,3.3167245195003106,,,,,,,,,,,-0.8022243787569272,,,-0.9564754479266128,,1.2590520896608395,,,,
C57BL/6,Intranasal,Lung,3,no,PBS,4.50E+02,-0.050570605923308254,0.4641990943990369,,,,,,,,,,,1.0280071681870788,,,-0.03609295505163123,,,,,,,,,,,-0.9507379598299893,,,-0.577806706304991,,0.037041654496144785,,,,
C57BL/6,Intranasal,Lung,3,Maybe,PBS,4.50E+04,-0.24666626013485904,1.4939157990980096,,,,,,,,,,,0.4150339632919201,,,0.1977948172382766,,,,,,,,,,,-0.21990348244604654,,,0.1375849526881099,,-0.20529654988293558,,,,
C57BL/6,Intranasal,Lung,3,Yes,PBS,4.50E+06,0.04585221377743412,-0.8395337326141148,,,,,,,,,,,3.492468697406947,,,2.0181752470287853,,,,,,,,,,,-1.4611894615800782,,,-0.9991027421953449,,2.061516367420323,,,,
BALB/c,Intramuscular ,Lung,1,no,PBS,4.50E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALB/c,Intramuscular ,Lung,1,maybe,PBS,4.50E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALB/c,Intramuscular ,Lung,1,Yes,PBS,4.50E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALB/c,Intramuscular ,Lung,2,no,PBS,4.50E+02,0.05487561362270949,-0.18497212715776484,,,,,,,,,,,-1.2515357019375486,,,0.0,,,,,,,,,,,0.011119070539333411,,,-0.08035626831779244,,0.2821629615670478,,,,
BALB/c,Intramuscular ,Lung,2,maybe,PBS,4.50E+04,0.06805581551808755,-0.2159114509227345,,,,,,,,,,,-2.27819817064644,,,19.084727952158513,,,,,,,,,,,-0.5961665275386043,,,-0.9902597758090028,,0.8435977695805605,,,,
BALB/c,Intramuscular ,Lung,2,Yes,PBS,4.50E+06,-0.0038562476981640103,0.03914527120318687,,,,,,,,,,,0.8155744704299602,,,17.08473573644927,,,,,,,,,,,-1.3846593544250871,,,-1.0362719639075748,,-2.1287079164535014,,,,
BALB/c,Intramuscular ,Lung,3,no,PBS,4.50E+02,0.17081147998186286,-0.8337864505498576,,,,,,,,,,,-1.159451040461141,,,0.0,,,,,,,,,,,-0.44643167164793585,,,-0.9503092505431813,,0.7914963590973614,,,,
BALB/c,Intramuscular ,Lung,3,maybe,PBS,4.50E+04,0.15072184298797894,-0.6571375669581816,,,,,,,,,,,-1.90211612027676,,,21.395714548920317,,,,,,,,,,,-0.2898197207125285,,,-0.14725767339037296,,2.705405766769464,,,,
BALB/c,Intramuscular ,Lung,3,Yes,PBS,4.50E+06,0.09550864005914594,-0.3510810658600278,,,,,,,,,,,-1.9164713418336388,,,20.165457856279428,,,,,,,,,,,-3.867858067998392,,,-3.9502566535192187,,2.441670970560326,,,,
BALB/c,Intranasal,Lung,1,no,PBS,4.50E+02,-0.005281378191590997,0.09913976181291638,,,,,,,,,,,-0.8536468234345024,,,0.0,,,,,,,,,,,0.0,,,-0.6088061385321734,,1.7091679395391823,,,,
BALB/c,Intranasal,Lung,1,maybe,PBS,4.50E+04,0.056853841052410266,-0.22239227997899938,,,,,,,,,,,-2.6906981659899527,,,0.0,,,,,,,,,,,0.0,,,0.13535132340281647,,-0.18183704802860473,,,,
BALB/c,Intranasal,Lung,1,Yes,PBS,4.50E+06,0.041569114400761616,-0.16897104805920304,,,,,,,,,,,0.8395343706904227,,,21.020389280899536,,,,,,,,,,,-1.584001344762295,,,-0.8327006366925334,,0.04669293317564366,,,,
