Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List
"Singlets/WBC/Lymph/CD3/CD8/ICOS+,Freq. of,CD8",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD8/DR,Freq. of,CD8",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD19/CD27/PB,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD8,Freq. of,CD3",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/ICOS+,Freq. of,TH",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/DR,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD19,Freq. of,Lymph",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD19/CD27,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD19/CD27/CD138,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3-/NK,Freq. of,Lymph",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH,Freq. of,CD4",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/DR,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3+/CD56/CD38,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3+/CD56/CD27,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3-/NK/CD27,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3+/CD56,Freq. of,CD3+",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3-/NK/CD38,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3-/NK/Q1: CD16,, CD20-CD56+,Freq. of,NK",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3+/CD38,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3-/NK/Q2: CD16+,, CD20-CD56+,Freq. of,NK",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4,Freq. of,CD3",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/ICOS+,Freq. of,CD3",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TFH/ICOS+,Freq. of,TFH",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TFH,Freq. of,CD4",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3+/CD27,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3+,Freq. of,Lymph",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56/CD86,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
